,id,nom,posteOuvert,typePoste,lon,lat,alt,postePublic
3,08046001,BANOGNE-RECOUVRANCE,True,2,4.129167,49.571667,130,True
4,08052002,BAYONVILLE,False,2,5.011667,49.38,195,True
5,08089003,BUZANCY_SAPC,True,2,4.9645,49.427333,199,True
6,08090001,CARIGNAN,False,4,5.166667,49.633333,172,True
7,08092001,CAUROY,False,4,4.465167,49.346833,139,True
8,08101002,LA CHAPELLE,False,2,5.041667,49.766667,396,True
9,08105001,MEZIERES,False,4,4.716,49.759667,140,True
10,08105002,CHARLEVILLE,False,4,4.72,49.761667,144,True
11,08105003,MONTCY-ST-PIER,False,4,4.739667,49.773667,145,True
12,08105005,CHARLEVILLE-MEZ,True,0,4.643167,49.782833,145,True
13,08116001,LE CHESNE,True,2,4.766167,49.510333,168,True
14,08145001,DOUZY,True,1,5.039833,49.658,153,True
15,08188002,GESPUNSART,False,4,4.828333,49.821667,204,True
16,08190001,GIVET,False,1,4.842833,50.143833,165,True
17,08207001,HAM-SUR-MEUSE,True,2,4.7795,50.116,109,True
18,08239001,JUNIVILLE,True,2,4.371667,49.397333,90,True
19,08239002,JUNIVILLE,False,2,4.395,49.391667,98,True
20,08244001,LAMETZ_SAPC,True,2,4.689667,49.536667,165,True
21,08248002,LAUNOIS-SUR-VENCE_SAPC,True,2,4.534667,49.671833,218,True
22,08254002,LIART_SAPC,True,2,4.340333,49.7655,240,True
23,08255001,LINAY,True,2,5.216833,49.616833,177,True
24,08296001,MONTCHEUTIN,False,4,4.819333,49.289833,132,True
25,08296002,MONTCHEUTIN_SAPC,True,2,4.809667,49.287333,142,True
26,08302003,MONTHERME,False,2,4.766667,49.916667,461,True
27,08303001,MONTHOIS,False,2,4.711833,49.316833,126,True
28,08311001,MOUZON,False,4,5.075,49.606667,158,True
29,08324001,NEUVIZY - MAN,False,4,4.535,49.628333,212,True
30,08324002,NEUVIZY,False,2,4.533333,49.628333,212,True
31,08353001,RANCENNES,True,1,4.813167,50.118833,162,True
32,08354001,RAUCOURT - MAN,False,4,4.96,49.605,200,True
33,08354002,RAUCOURT,False,2,4.963333,49.605,200,True
34,08355001,REGNIOWEZ SA,False,2,4.428333,49.913333,350,True
35,08362002,RETHEL - MAN,False,4,4.363667,49.5025,71,True
36,08362003,RETHEL,False,2,4.373333,49.516667,115,True
37,08363001,REVIN,False,4,4.626667,49.9325,130,True
38,08366002,ROCQUIGNY,False,2,4.236667,49.716667,250,True
39,08367001,ROCROI - MAN,False,4,4.52,49.921667,386,True
40,08367002,ROCROI,True,1,4.53,49.918667,382,True
41,08381002,ST GERMAINMONT,False,2,4.133333,49.5,80,True
